	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명	프랜차이저
119	휴게음식점	카페트리니티	서울특별시 영등포구 여의도동  13번지 1호	제라네이처(주)	126.92167849999998	37.5307075	커피숍	0
120	휴게음식점	(주)커피빈코리아여의도SK증권빌딩점	서울특별시 영등포구 여의도동  45번지 1호  K타워 1층 105106호	(주)커피빈코리아	126.9279038	37.51985620000001	커피숍	1
121	휴게음식점	매머드커피여의도S점(116호)	서울특별시 영등포구 여의도동  26번지  외1필지 에스트레뉴 1층 107호		126.92424229999999	37.5229194	커피숍	0
122	휴게음식점	국회의원식당카페	서울특별시 영등포구 여의도동  1번지  본관3층	주식회사현대그린푸드	126.9252472	37.5249114	커피숍	0
123	휴게음식점	365-T	서울특별시 영등포구 여의도동  1번지  국회의원회관 1층		126.91412539999999	37.529354100000006	전통찻집	0
124	휴게음식점	카페진정성	서울특별시 영등포구 여의도동  45번지 1호  K-Tower 1층		126.9279785	37.5198802	커피숍	0
125	휴게음식점	스타벅스국회대로점	서울특별시 영등포구 여의도동  14번지  지상1층2층	(주)스타벅스커피코리아	126.91954879999999	37.53026	커피숍	1
126	휴게음식점	라콤커피	서울특별시 영등포구 여의도동  61번지 4호  콤비빌딩 1층 122호		126.9390169	37.5189095	커피숍	0
127	휴게음식점	원빈	서울특별시 영등포구 여의도동  27번지  금융감독원빌딩 9층	금융감독원장학회	126.92130209999999	37.523034	커피숍	0
128	휴게음식점	펄스에이트카페(PULSE8CAFE)	서울특별시 영등포구 여의도동  23번지  콘래드호텔 8층	에스아이에프씨호텔디벨로프먼트유한회사	126.9266384	37.5254382	커피숍	0
129	휴게음식점	ㅋㅋ분식	서울특별시 영등포구 여의도동  12번지 1호  삼도오피스텔 1층 101호		126.92483689999999	37.5298994	기타 휴게음식점	0
130	휴게음식점	할리스커피여의도하나투자점	서울특별시 영등포구 여의도동  27번지 3호  하나금융투자빌딩 1층 2층 일부	(주)할리스에프앤비	126.9218374	37.5226225	커피숍	1
131	휴게음식점	와츠업PC방	서울특별시 영등포구 여의도동  53번지 1호  행진빌딩		126.9331975	37.5188732	커피숍	0
132	휴게음식점	스타벅스여의도화재보험	서울특별시 영등포구 여의도동  35번지 4호  한국화재보험협회 1층 일부	(주)스타벅스커피코리아	126.9260139	37.5213639	커피숍	1
133	휴게음식점	스타벅스여의도KBS점	서울특별시 영등포구 여의도동  17번지 9호  더하우스소호 1층 109호(일부)~113호	(주)스타벅스커피코리아	126.9181878	37.526575799999996	커피숍	1
134	휴게음식점	골드브라운	서울특별시 영등포구 여의도동  53번지 11호  상아빌딩 2층 203호		126.93389340000002	37.5183615	커피숍	0
135	휴게음식점	(주)보나비아티제여의도신영증권점	서울특별시 영등포구 여의도동  34번지 8호  신영증권본관빌딩 1층	(주)보나비	126.9289518	37.5213039	커피숍	0
136	휴게음식점	(주)보나비아티제여의도역점	서울특별시 영등포구 여의도동  35번지 3호  한국교직원공제회관 지하1층 B1-1 B1-2	(주)보나비	126.92580919999999	37.52190039999999	커피숍	0
137	휴게음식점	마이쥬스여의도점	서울특별시 영등포구 여의도동  23번지 3호  KTB빌딩 본관(A동) 1층	(주)마이에프앤비	126.923643	37.524567	커피숍	0
138	휴게음식점	남대문커피	서울특별시 영등포구 여의도동  14번지 21호  엘지여의도에클라트		126.91924099999999	37.529835999999996	커피숍	0
