	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명
207	휴게음식점	카페이스	서울특별시 마포구 서교동  357번지 1호  서교오피스텔지2층일부		126.914726	37.5564793	커피숍
208	휴게음식점	움트(oumt)	서울특별시 마포구 서교동  332번지 15호  삼이빌딩 2층		126.9260189	37.555448	기타 휴게음식점
209	휴게음식점	카페장쌤	서울특별시 마포구 서교동  333번지 30호  1층일부		126.9261585	37.5547933	기타 휴게음식점
210	휴게음식점	스타벅스커피 서교동사거리	서울특별시 마포구 서교동  374번지 20호  1층	(주)스타벅스커피 코리아	126.9185644	37.5533761	커피숍
211	휴게음식점	스타벅스커피 서교동사거리	서울특별시 마포구 서교동  374번지 20호  1층	(주)스타벅스커피 코리아	126.9185644	37.5533761	커피숍
212	휴게음식점	친구네놀이터	서울특별시 마포구 서교동  405번지 3호  3층		126.920841	37.5505857	커피숍
213	휴게음식점	쏘커피홍대역점	서울특별시 마포구 서교동  354번지 1호  1층일부		126.9215641	37.554755	커피숍
214	휴게음식점	쏘커피홍대역점	서울특별시 마포구 서교동  354번지 1호  1층일부		126.9215641	37.554755	커피숍
215	휴게음식점	아임당빵그리고차	서울특별시 마포구 서교동  384번지 3호  2층일부		126.913481	37.5521833	커피숍
216	휴게음식점	키스더티라미수홍대엘큐브점	서울특별시 마포구 동교동  163번지 20호  1？일	(주)프테이	126.9223213	37.5547475	커피숍
217	휴게음식점	키스더티라미수홍대엘큐브점	서울특별시 마포구 동교동  163번지 20호  1？일	(주)신사리퍼블릭	126.9223213	37.5547475	커피숍
218	휴게음식점	ㅋㅋ다방엘큐브홍대점	서울특별시 마포구 동교동  163번지 20호  1？일	(주)프테이	126.9223213	37.5547475	커피숍
219	휴게음식점	ㅋㅋ다방엘큐브홍대점	서울특별시 마포구 동교동  163번지 20호  1？일	(주)신사리퍼블릭	126.9223213	37.5547475	커피숍
220	휴게음식점	토미쥬스	서울특별시 마포구 서교동  337번지 15호		126.9281084	37.5537748	커피숍
221	휴게음식점	카툰공감홍대점	서울특별시 마포구 서교동  369번지 4호  호곡빌딩 4층일부		126.9213963	37.5525739	커피숍
222	휴게음식점	코믹한쌀롱	서울특별시 마포구 서교동  396번지 45호		126.9180103	37.5497479	커피숍
223	휴게음식점	힐링카페심신프리	서울특별시 마포구 서교동  358번지 8호  3층	(주)심신프리	126.9224651	37.5536442	커피숍
224	휴게음식점	북까페산책	서울특별시 마포구 서교동  352번지 18호  1층일부		126.9195211	37.5550788	기타 휴게음식점
225	휴게음식점	맹쿤	서울특별시 마포구 서교동  358번지 2호  4층		126.9236985	37.5526328	커피숍
226	휴게음식점	에이난(A-Nan)	서울특별시 마포구 서교동  368번지 4호  해냄빌딩 1층일부		126.9200312	37.5513134	커피숍
227	휴게음식점	세븐일레븐홍대5번출구점	서울특별시 마포구 동교동  176번지 13호  1층편의점내	(주)코리아세븐	126.9284886	37.5576518	기타 휴게음식점
228	휴게음식점	세븐일레븐홍대5번출구점	서울특별시 마포구 동교동  176번지 13호  1층편의점내	(주)코리아세븐	126.9284886	37.5576518	기타 휴게음식점
229	휴게음식점	킹콩쥬스홍대1호점	서울특별시 마포구 서교동  344번지 6호  외 1필지 칼리오페 1층 106호		126.9242887	37.5536194	커피숍
230	휴게음식점	스타벅스커피 신촌오거리	서울특별시 마포구 노고산동  54번지 1호	(주)스타벅스커피코리아	126.9346633	37.555138	커피숍
231	휴게음식점	스타벅스커피 신촌오거리	서울특별시 마포구 노고산동  54번지 1호	(주)스타벅스커피코리아	126.9346633	37.555138	커피숍
232	휴게음식점	디비스토리카페	서울특별시 마포구 서교동  347번지 15호		126.9252498	37.5553338	커피숍
233	휴게음식점	디비스토리카페	서울특별시 마포구 서교동  345번지 7호  2층		126.9234471	37.5547677	커피숍
